"Incident ID","Incident Date",State,"City Or County",Address,Killed,Injured,Operations
2201463,"December 31, 2021","District of Columbia",Washington,"4600 block of S Capitol St SE",0,2,N/A
2201460,"December 31, 2021","New York",Brooklyn,"2016 Regent Pl",0,2,N/A
2202718,"December 31, 2021","New Mexico",Ribera,"8 El Gasnate",1,0,N/A
2201456,"December 31, 2021",Maryland,Baltimore,"2800 block of Clifton Ave",0,1,N/A
2201454,"December 31, 2021",Maryland,Baltimore,"Seabury Rd and Cherry Hill Rd",0,1,N/A
2202184,"December 31, 2021",Michigan,Saginaw,"3417 E Genesee Ave",0,1,N/A
2201244,"December 31, 2021",Minnesota,Minneapolis,"2400 block of Dupont Ave N",1,1,N/A
2201444,"December 31, 2021","North Carolina",Raleigh,"2424 Melvid Ct",0,1,N/A
2201442,"December 31, 2021","North Carolina",Raleigh,"4716 New Bern Ave",0,1,N/A
2201856,"December 31, 2021","North Carolina",Durham,"1500 block of Robinhood Rd",1,0,N/A
2201433,"December 31, 2021","New York",Brooklyn,"180 Wortman Ave",0,1,N/A
2285823,"December 31, 2021",Louisiana,"New Orleans","2200 block of Terpsichore St",0,1,N/A
2201429,"December 31, 2021","New York","Staten Island","1251 Bay St",1,0,N/A
2201389,"December 31, 2021",Tennessee,Knoxville,"2000 block of Countryhill Ln",1,0,N/A
2202144,"December 31, 2021",Tennessee,Memphis,"Vernon Ave",0,1,N/A
2201333,"December 31, 2021",Nevada,"Las Vegas","3200 Las Vegas Blvd S",1,0,N/A
2202496,"December 31, 2021",Nevada,"Las Vegas","2411 W Sahara Ave",1,0,N/A
2201339,"December 31, 2021",California,Concord,"1 Sunvalley Mall Rd",1,0,N/A
2201351,"December 31, 2021",Louisiana,"Baton Rouge","7808 Greenwell Springs Rd",0,3,N/A
2201320,"December 31, 2021",Kentucky,Louisville,"1545 Louis Coleman Jr Dr",0,1,N/A
2202272,"December 31, 2021","New Jersey",Trenton,"50 block of Beakes St",1,0,N/A
2207228,"December 31, 2021",Florida,Tampa,"900 W Kennedy Blvd",0,1,N/A
2203315,"December 31, 2021","North Carolina","Forest City","765 Chase High Rd",0,1,N/A
2202300,"December 31, 2021","New Jersey",Paterson,"Rosa Parks Blvd and 12th Ave",0,1,N/A
2202871,"December 31, 2021","New York",Buffalo,"Sycamore St and Oberlin Ave",0,1,N/A
2203657,"December 31, 2021",Kentucky,Boaz,"US-45 and Cline Rd",0,1,N/A
2201307,"December 31, 2021","South Carolina",Spartanburg,"7550 Asheville Hwy",1,0,N/A
2201278,"December 31, 2021","South Carolina","West Columbia","Old Barnwell Rd",0,1,N/A
2201212,"December 31, 2021",Tennessee,Memphis,"Goodhaven Dr and Grovehaven Cir",1,0,N/A
2202247,"December 31, 2021",Illinois,Rockford,"3800 block of Auburn St",0,1,N/A
2201301,"December 31, 2021",Virginia,Portsmouth,"600 block of Dunedin Rd",1,1,N/A
2201810,"December 31, 2021",Georgia,Augusta,"3100 block of Ramsgate Dr",0,1,N/A
2201274,"December 31, 2021","South Carolina","Mount Pleasant","1500 block of Pat St",0,1,N/A
2201288,"December 31, 2021",Virginia,Richmond,"10800 block of Midlothian Turnpike",0,1,N/A
2201272,"December 31, 2021",Minnesota,"Saint Paul (Maplewood)",N/A,0,1,N/A
2201172,"December 31, 2021",Minnesota,"Minneapolis (Bloomington)","60 E Broadway",0,2,N/A
2204210,"December 31, 2021",Maryland,Essex,"100 block of Jillway Court",0,1,N/A
2201921,"December 31, 2021",Kentucky,Louisville,"3100 block of Dumesnil St",0,2,N/A
2201067,"December 31, 2021",California,Beaumont,"435 E 4th St",1,0,N/A
